entity,coupled,degree,average-revs,structurally_coupled,direction
crates/ra_assists/src/add_impl.rs,crates/ra_assists/src/introduce_variable.rs,63,10,No,None
crates/hir-ty/src/next_solver/consts.rs,crates/hir-ty/src/next_solver/region.rs,63,10,No,None
crates/ra_analysis/src/hir/module/imp.rs,crates/ra_analysis/src/hir/module/mod.rs,63,10,No,None
crates/ra_assists/src/assists/move_bounds.rs,crates/ra_assists/src/assists/move_guard.rs,63,10,No,None
crates/ra_ide/src/snapshots/highlight_unsafe.html,crates/ra_ide/src/snapshots/rainbow_highlighting.html,62,18,No,None
crates/syntax/src/parsing.rs,crates/syntax/src/parsing/reparsing.rs,62,18,Yes,Bidirectional (Circular)
crates/ide/src/inlay_hints/discriminant.rs,crates/ide/src/inlay_hints/implicit_static.rs,62,16,No,None
src/yellow/mod.rs,src/yellow/syntax.rs,62,16,No,None
tests/data/parser/err/0001_item_recovery_in_file.txt,tests/data/parser/err/0007_stray_curly_in_file.txt,62,8,No,None
tests/data/parser/err/0005_attribute_recover.txt,tests/data/parser/err/0008_item_block_recovery.txt,62,8,No,None
crates/ra_ide/test_data/highlight_doctest.html,crates/ra_ide/test_data/rainbow_highlighting.html,62,8,No,None
crates/ide-assists/src/handlers/convert_comment_block.rs,crates/ide-assists/src/handlers/desugar_doc_comment.rs,62,8,Yes,Coupled -> Entity
crates/thread_worker/Cargo.toml,crates/thread_worker/src/lib.rs,62,8,No,None
crates/ide_ssr/src/fragments.rs,crates/ide_ssr/src/parsing.rs,62,8,No,None
crates/ssr/src/replacing.rs,crates/ssr/src/tests.rs,62,8,No,None
crates/ra_assists/src/assists/change_visibility.rs,crates/ra_assists/src/assists/merge_match_arms.rs,62,8,No,None
crates/ra_assists/src/assists/flip_binexpr.rs,crates/ra_assists/src/assists/merge_match_arms.rs,62,8,No,None
crates/ide-completion/src/completions/use_.rs,crates/ide-completion/src/completions/vis.rs,61,21,No,None
crates/ra_ide/src/snapshots/highlight_strings.html,crates/ra_ide/src/snapshots/rainbow_highlighting.html,61,21,No,None
src/yellow/red.rs,src/yellow/syntax.rs,61,18,No,None
crates/ra_analysis/src/completion/complete_keyword.rs,crates/ra_analysis/src/completion/complete_snippet.rs,61,13,No,None
crates/rust-analyzer/src/diagnostics/test_data/macro_compiler_error.txt,crates/rust-analyzer/src/diagnostics/test_data/snap_multi_line_fix.txt,61,13,No,None
crates/rust-analyzer/src/diagnostics/test_data/clippy_pass_by_ref.txt,crates/rust-analyzer/src/diagnostics/test_data/macro_compiler_error.txt,61,13,No,None
crates/hir_ty/src/diagnostics/pattern.rs,crates/hir_ty/src/diagnostics/pattern/deconstruct_pat.rs,60,17,No,None
crates/hir_ty/src/diagnostics/pattern.rs,crates/hir_ty/src/diagnostics/pattern/usefulness.rs,60,15,No,None
crates/ra_analysis/src/hir/module/mod.rs,crates/ra_analysis/src/hir/query_definitions.rs,60,12,No,None
crates/ra_assists/src/handlers/add_impl.rs,crates/ra_assists/src/handlers/add_new.rs,60,10,No,None
crates/ra_assists/src/assists/apply_demorgan.rs,crates/ra_assists/src/assists/invert_if.rs,60,10,No,None
crates/ra_syntax/src/parser_impl/event.rs,crates/ra_syntax/src/yellow/builder.rs,60,10,No,None
src/yellow/builder.rs,src/yellow/mod.rs,60,10,No,None
crates/ra_ide/test_data/highlight_strings.html,crates/ra_ide/test_data/highlight_unsafe.html,60,10,No,None
crates/ra_syntax/src/syntax_kinds/generated.rs,crates/ra_syntax/src/syntax_kinds/generated.rs.tera,60,10,No,None
crates/ra_assists/src/assists/add_derive.rs,crates/ra_assists/src/assists/apply_demorgan.rs,60,10,No,None
crates/ra_ide/test_data/highlight_strings.html,crates/ra_ide/test_data/highlighting.html,60,10,No,None
src/parser/event_parser/grammar/items/mod.rs,src/parser/event_parser/grammar/items/structs.rs,60,10,No,None
crates/ra_assists/src/assists/add_impl.rs,crates/ra_assists/src/assists/apply_demorgan.rs,60,10,No,None
